SA22021_V1_00,SA22021_V1_00_NAME,SA22021_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM
228000,Sandon,Sandon,4.48612813,4.48612813
228100,Kimbolton North,Kimbolton North,4.213706057,4.213706057
228200,Warwick,Warwick,0.815194974,0.815194974
228300,Kimbolton West,Kimbolton West,1.160346958,1.160346958
228400,Feilding Central,Feilding Central,6.659922632,6.659922632
228500,Kimbolton South,Kimbolton South,1.354462068,1.354462068
228600,Kauwhata,Kauwhata,154.4331023,154.4331023
228700,Taonui,Taonui,165.7662316,165.7662316
228800,Newbury,Newbury,34.67450209,34.67450209
228900,Palmerston North Airport,Palmerston North Airport,7.537031529,7.537031529
229000,Milson North,Milson North,0.965262701,0.965262701
229100,Cloverlea (Palmerston North City),Cloverlea (Palmerston North City),0.676087194,0.676087194
229200,Tremaine,Tremaine,4.401916655,4.401916655
229300,Milson South,Milson South,1.22972976,1.22972976
229400,Whakarongo,Whakarongo,51.23420297,51.23420297
229500,Westbrook,Westbrook,1.129172747,1.129172747
229600,Takaro North,Takaro North,1.119687204,1.119687204
229700,Pioneer West,Pioneer West,2.364070766,2.364070766
229800,Palmerston North Hospital,Palmerston North Hospital,1.073722632,1.073722632
229900,Highbury East,Highbury East,1.160707874,1.160707874
230000,Park West,Park West,0.928420319,0.928420319
230100,Takaro South,Takaro South,0.876527585,0.876527585
230200,Roslyn (Palmerston North City),Roslyn (Palmerston North City),1.15069211,1.15069211
230300,Kelvin Grove West,Kelvin Grove West,0.781900411,0.781900411
230400,Kelvin Grove North,Kelvin Grove North,2.141807391,2.141807391
230500,Papaioea North,Papaioea North,0.803871013,0.803871013
230600,Palmerston North Central,Palmerston North Central,1.843798661,1.843798661
230700,Awapuni North,Awapuni North,1.233503147,1.233503147
230800,Terrace End,Terrace End,1.202797093,1.202797093
230900,Maraetarata,Maraetarata,2.44208369,2.44208369
231000,Papaioea South,Papaioea South,0.600507258,0.600507258
231100,Royal Oak (Palmerston North City),Royal Oak (Palmerston North City),1.626157254,1.626157254
231200,West End,West End,1.161323194,1.161323194
231300,Awapuni South,Awapuni South,1.671383773,1.671383773
231400,Milverton,Milverton,0.564508765,0.564508765
231500,Ruamahanga,Ruamahanga,1.531704969,1.531704969
231600,Esplanade,Esplanade,1.305758468,1.305758468
231700,Hokowhitu Central,Hokowhitu Central,0.910321821,0.910321821
231800,Hokowhitu East,Hokowhitu East,1.243102714,1.243102714
231900,Turitea,Turitea,9.720382034,9.720382034
232000,Ruahine,Ruahine,1.662495943,1.662495943
232100,Linton Camp,Linton Camp,4.904838987,4.904838987
232200,Ashhurst,Ashhurst,4.207277961,4.207277961
232300,Hokowhitu South,Hokowhitu South,0.895266301,0.895266301
232400,Aokautere,Aokautere,7.11986392,7.11986392
232500,Pihauatua,Pihauatua,143.8311399,143.8311399
232600,Aokautere Rural,Aokautere Rural,83.81160937,83.81160937
232700,Poutoa,Poutoa,7.003937751,7.003937751
232800,Norsewood,Norsewood,397.4437775,397.4437775
232900,Papatawa,Papatawa,230.0558446,230.0558446
233000,Mangatainoka,Mangatainoka,496.8082944,496.8082944
233100,Woodville,Woodville,4.039404825,4.039404825
233200,Dannevirke West,Dannevirke West,2.073938017,2.073938017
233300,Dannevirke East,Dannevirke East,4.735341573,4.735341573
233400,Waitahora,Waitahora,538.2098693,538.2098693
233500,Kaitawa,Kaitawa,583.1195794,583.1195794
233600,Pahiatua,Pahiatua,3.877107904,3.877107904
233700,Nireaha-Eketahuna,Nireaha-Eketahuna,892.6140529,892.6140529
233800,Owhanga,Owhanga,1142.54118,1142.54118
233900,Mara,Mara,69.0932145,69.0932145
234000,Kere Kere,Kere Kere,228.6667728,228.6667728
234100,Foxton Beach,Foxton Beach,2.641810481,2.641810481
234200,Foxton North,Foxton North,4.53335993,4.53335993
234300,Foxton South,Foxton South,7.024490389,7.024490389
234400,Waitarere,Waitarere,94.70263964,94.70263964
234500,Waikawa (Horowhenua District),Waikawa (Horowhenua District),62.16248855,62.16248855
234600,Miranui,Miranui,296.8795657,296.8795657
234700,Donnelly Park,Donnelly Park,1.903632441,1.903632441
234800,Ōhau-Manakau,Ohau-Manakau,42.22723388,42.22723388
234900,Kawiu South,Kawiu South,1.02386948,1.02386948
235000,Makomako,Makomako,0.856549022,0.856549022
235100,Kawiu North,Kawiu North,1.75773081,1.75773081
235200,Levin Central,Levin Central,1.047588518,1.047588518
235300,Tararua,Tararua,10.7491066,10.7491066
235400,Shannon,Shannon,2.944011652,2.944011652
235500,Queenwood (Horowhenua District),Queenwood (Horowhenua District),0.826057544,0.826057544
235600,Playford Park,Playford Park,0.851760286,0.851760286
235700,Fairfield (Horowhenua District),Fairfield (Horowhenua District),1.738548142,1.738548142
235800,Taitoko,Taitoko,0.920135435,0.920135435
235900,Waiopehu,Waiopehu,0.759259788,0.759259788
236000,Makahika,Makahika,170.3228453,170.3228453
236100,Kimberley,Kimberley,129.3666859,129.3666859
236200,Kapiti Island,Kapiti Island,19.25851521,19.25851521
236300,Ōtaki Beach,Otaki Beach,3.360545155,3.360545155
236400,Forest Lakes (Kapiti Coast District),Forest Lakes (Kapiti Coast District),38.05597488,38.05597488
236500,Ōtaki,Otaki,8.459020585,8.459020585
236600,Te Horo,Te Horo,31.86274875,31.86274875
236700,Waitohu,Waitohu,0.737886642,0.737886642
236800,Waikanae Beach,Waikanae Beach,4.365158105,4.365158105
236900,Peka Peka,Peka Peka,10.02005836,10.02005836
237000,Paraparaumu Beach North,Paraparaumu Beach North,2.143970591,2.143970591
237100,Paraparaumu Beach West,Paraparaumu Beach West,1.594362342,1.594362342
237200,Waikanae Park,Waikanae Park,7.359871462,7.359871462
237300,Paraparaumu Beach East,Paraparaumu Beach East,1.067179843,1.067179843
237400,Otaihanga,Otaihanga,4.474087516,4.474087516
237500,Paraparaumu North,Paraparaumu North,3.533676592,3.533676592
237600,Waikanae West,Waikanae West,4.681432247,4.681432247
237700,Ōtaki Forks,Otaki Forks,87.31909564,87.31909564
237800,Paraparaumu Central,Paraparaumu Central,4.46420697,4.46420697
237900,Maungakotukutuku,Maungakotukutuku,112.7031309,112.7031309
238000,Raumati Beach West,Raumati Beach West,1.750012023,1.750012023
238100,Waikanae East,Waikanae East,3.187447667,3.187447667
238200,Tararua Forest Park,Tararua Forest Park,365.6288131,365.6288131
238300,Raumati Beach East,Raumati Beach East,1.424292977,1.424292977
238400,Paraparaumu East,Paraparaumu East,2.511851746,2.511851746
238500,Raumati South,Raumati South,5.642586788,5.642586788
238600,Paekākāriki,Paekakariki,5.914159139,5.914159139
238700,Mana Island,Mana Island,2.113475989,2.113475989
238800,Pukerua Bay,Pukerua Bay,8.172261708,8.172261708
238900,Paekākāriki Hill,Paekakariki Hill,35.76941771,35.76941771
239000,Plimmerton,Plimmerton,5.155856234,5.155856234
239100,Titahi Bay North,Titahi Bay North,2.009353716,2.009353716
239200,Titahi Bay South,Titahi Bay South,3.543468688,3.543468688
239300,Elsdon-Takapuwahia,Elsdon-Takapuwahia,10.29580929,10.29580929
239400,Pāuatahanui,Pauatahanui,75.94115288,75.94115288
239500,Onepoto,Onepoto,2.241163775,2.241163775
239600,Camborne,Camborne,0.835046999,0.835046999
239800,Paremata,Paremata,1.615825123,1.615825123
239900,Porirua Central,Porirua Central,6.726465469,6.726465469
240000,Papakōwhai,Papakowhai,1.430431417,1.430431417
240100,Aotea,Aotea,2.678763677,2.678763677
240200,Postgate,Postgate,1.288818401,1.288818401
240300,Ascot Park,Ascot Park,1.119602626,1.119602626
240400,Whitby,Whitby,2.043982653,2.043982653
240500,Porirua East,Porirua East,1.209787849,1.209787849
240600,Endeavour,Endeavour,3.122741857,3.122741857
240700,Cannons Creek North,Cannons Creek North,1.057068905,1.057068905
240800,Waitangirua,Waitangirua,1.22400549,1.22400549
240900,Ranui Heights,Ranui Heights,2.354129298,2.354129298
241000,Cannons Creek East,Cannons Creek East,1.45607258,1.45607258
241100,Cannons Creek South,Cannons Creek South,1.407936514,1.407936514
241200,Akatarawa,Akatarawa,334.1476605,334.1476605
241300,Riverstone Terraces,Riverstone Terraces,2.236273898,2.236273898
241400,Heretaunga,Heretaunga,3.26094578,3.26094578
241500,Birchville-Brown Owl,Birchville-Brown Owl,8.985147954,8.985147954
241600,Poets Block,Poets Block,1.241606087,1.241606087
241700,Brentwood (Upper Hutt City),Brentwood (Upper Hutt City),0.982663046,0.982663046
241800,Silverstream (Upper Hutt City),Silverstream (Upper Hutt City),2.644126313,2.644126313
241900,Elderslea,Elderslea,1.395398032,1.395398032
242000,Trentham North,Trentham North,1.023959023,1.023959023
242100,Totara Park,Totara Park,1.72406495,1.72406495
242200,Trentham South,Trentham South,8.124783651,8.124783651
242300,Mangaroa,Mangaroa,154.5682314,154.5682314
242400,Ebdentown,Ebdentown,0.911081163,0.911081163
242500,Wallaceville,Wallaceville,0.702334275,0.702334275
242600,Maoribank,Maoribank,3.485706226,3.485706226
242700,Te Marua,Te Marua,5.463410441,5.463410441
242800,Pinehaven,Pinehaven,5.590871873,5.590871873
242900,Clouston Park,Clouston Park,1.151048649,1.151048649
243000,Upper Hutt Central,Upper Hutt Central,2.236789757,2.236789757
243100,Belmont Park,Belmont Park,29.47137767,29.47137767
243200,Maungaraki,Maungaraki,2.110211364,2.110211364
243300,Korokoro,Korokoro,1.845460902,1.845460902
243400,Kelson,Kelson,5.358510679,5.358510679
243500,Normandale,Normandale,1.446592343,1.446592343
243600,Belmont (Lower Hutt City),Belmont (Lower Hutt City),2.361888873,2.361888873
243700,Petone Central,Petone Central,1.301731297,1.301731297
243800,Tirohanga,Tirohanga,1.180999758,1.180999758
243900,Manor Park,Manor Park,1.592363877,1.592363877
244000,Alicetown-Melling,Alicetown-Melling,1.255412123,1.255412123
244100,Taita North,Taita North,1.14503934,1.14503934
244200,Boulcott,Boulcott,1.582129502,1.582129502
244300,Hutt Central North,Hutt Central North,1.070971133,1.070971133
244400,Avalon West,Avalon West,1.21143923,1.21143923
244500,Stokes Valley Central,Stokes Valley Central,1.489470251,1.489470251
244600,Taita South,Taita South,3.399562901,3.399562901
244700,Petone East,Petone East,1.628630068,1.628630068
244800,Hutt Central South,Hutt Central South,1.294817849,1.294817849
244900,Stokes Valley North,Stokes Valley North,4.795919225,4.795919225
245000,Petone Esplanade,Petone Esplanade,0.974357214,0.974357214
245100,Epuni West,Epuni West,0.986809499,0.986809499
245200,Avalon East,Avalon East,0.813839225,0.813839225
245300,Woburn,Woburn,0.618531945,0.618531945
245400,Naenae Central,Naenae Central,1.385227504,1.385227504
245500,Waterloo West,Waterloo West,0.726997785,0.726997785
245600,Epuni East,Epuni East,1.003820822,1.003820822
245700,Gracefield,Gracefield,3.746572979,3.746572979
245800,Moera,Moera,0.629715442,0.629715442
245900,Delaney,Delaney,2.068439759,2.068439759
246000,Waiwhetu,Waiwhetu,1.679741452,1.679741452
246100,Waterloo East,Waterloo East,1.081460912,1.081460912
246200,Naenae North,Naenae North,2.608144523,2.608144523
246300,Manuka,Manuka,1.314308498,1.314308498
246400,Naenae South,Naenae South,1.182241389,1.182241389
246500,Towai,Towai,5.007261032,5.007261032
246600,Arakura,Arakura,1.961626524,1.961626524
246700,Eastern Bays,Eastern Bays,1.926167548,1.926167548
246800,Pencarrow,Pencarrow,268.4161233,268.4161233
246900,Wainuiomata West,Wainuiomata West,2.105903961,2.105903961
247000,Glendale,Glendale,3.209118782,3.209118782
247100,Wainuiomata Central,Wainuiomata Central,1.262963384,1.262963384
247200,Eastbourne,Eastbourne,1.927541269,1.927541269
247300,Homedale East,Homedale East,2.913098652,2.913098652
247400,Homedale West,Homedale West,1.311029894,1.311029894
247500,Mākara-Ohariu,Makara-Ohariu,177.5543254,177.5543254
247600,Tawa North,Tawa North,1.444075213,1.444075213
247700,Linden,Linden,1.117575756,1.117575756
247800,Tawa South,Tawa South,2.548242433,2.548242433
247900,Tawa Central,Tawa Central,1.53159574,1.53159574
248000,Grenada North,Grenada North,5.789336873,5.789336873
248100,Churton Park North,Churton Park North,4.710581429,4.710581429
248200,Takapu-Horokiwi,Takapu-Horokiwi,19.10161313,19.10161313
248300,Churton Park South,Churton Park South,1.251392416,1.251392416
248400,Johnsonville West,Johnsonville West,1.176194492,1.176194492
248500,Grenada Village,Grenada Village,1.452007021,1.452007021
248600,Johnsonville North,Johnsonville North,0.8934686,0.8934686
248700,Paparangi,Paparangi,1.31377899,1.31377899
248800,Ngaio North,Ngaio North,0.82388674,0.82388674
248900,Johnsonville Central,Johnsonville Central,0.95235413,0.95235413
249000,Broadmeadows,Broadmeadows,0.642034941,0.642034941
249100,Crofton Downs,Crofton Downs,1.310602348,1.310602348
249200,Johnsonville South,Johnsonville South,0.7108156,0.7108156
249300,Khandallah Reserve,Khandallah Reserve,1.165462119,1.165462119
249400,Karori Park,Karori Park,2.028926973,2.028926973
249500,Newlands North,Newlands North,1.147864081,1.147864081
249600,Ngaio South,Ngaio South,1.369361091,1.369361091
249700,Newlands South,Newlands South,5.669525542,5.669525542
249800,Woodridge,Woodridge,0.989980872,0.989980872
249900,Karori North,Karori North,1.61904483,1.61904483
250000,Khandallah North,Khandallah North,1.017138123,1.017138123
250100,Wilton,Wilton,1.260867248,1.260867248
250200,Khandallah South,Khandallah South,0.726518642,0.726518642
250300,Wadestown,Wadestown,1.437319814,1.437319814
250400,Karori South,Karori South,1.400102437,1.400102437
250500,Onslow,Onslow,0.767922737,0.767922737
250600,Karori East,Karori East,1.229161739,1.229161739
250700,Pipitea-Kaiwharawhara,Pipitea-Kaiwharawhara,2.216361658,2.216361658
250800,Northland (Wellington City),Northland (Wellington City),1.26113433,1.26113433
250900,Thorndon,Thorndon,1.485649022,1.485649022
251000,Wellington Botanic Gardens,Wellington Botanic Gardens,0.523238559,0.523238559
251100,Kelburn,Kelburn,0.494785797,0.494785797
251200,Aro Valley,Aro Valley,1.247123849,1.247123849
251300,Wellington University,Wellington University,0.416887049,0.416887049
251400,Wellington Central,Wellington Central,0.560141116,0.560141116
251500,Brooklyn North,Brooklyn North,1.245321867,1.245321867
251600,Dixon Street,Dixon Street,0.301910031,0.301910031
251700,Vivian West,Vivian West,0.370041108,0.370041108
251800,Courtenay,Courtenay,0.326532963,0.326532963
251900,Brooklyn East,Brooklyn East,0.90352209,0.90352209
252000,Mount Cook West,Mount Cook West,0.613662117,0.613662117
252100,Vivian East,Vivian East,0.2863563,0.2863563
252200,Brooklyn South,Brooklyn South,1.827772047,1.827772047
252300,Oriental Bay,Oriental Bay,0.303088996,0.303088996
252400,Mount Cook East,Mount Cook East,0.435716655,0.435716655
252500,Mount Victoria,Mount Victoria,1.078822801,1.078822801
252600,Roseneath,Roseneath,0.54870532,0.54870532
252700,Ōwhiro Bay,Owhiro Bay,4.059056263,4.059056263
252800,Kingston-Mornington-Vogeltown,Kingston-Mornington-Vogeltown,0.9883472,0.9883472
252900,Newtown North,Newtown North,0.70061658,0.70061658
253000,Newtown West,Newtown West,0.660824918,0.660824918
253100,Hataitai North,Hataitai North,1.063379463,1.063379463
253200,Evans Bay,Evans Bay,0.351125443,0.351125443
253300,Berhampore,Berhampore,1.396872831,1.396872831
253400,Hataitai South,Hataitai South,0.428166339,0.428166339
253500,Maupuia,Maupuia,1.953757219,1.953757219
253600,Newtown South,Newtown South,1.194766881,1.194766881
253700,Kilbirnie Central,Kilbirnie Central,0.97174076,0.97174076
253800,Island Bay West,Island Bay West,1.168462025,1.168462025
253900,Melrose,Melrose,0.333746865,0.333746865
254000,Island Bay East,Island Bay East,0.983296352,0.983296352
254100,Miramar North,Miramar North,0.507357558,0.507357558
254200,Kilbirnie East,Kilbirnie East,0.476682589,0.476682589
254300,Lyall Bay,Lyall Bay,0.547726152,0.547726152
254400,Miramar Central,Miramar Central,0.530061803,0.530061803
254500,Southgate,Southgate,0.467056078,0.467056078
254600,Karaka Bay-Worser Bay,Karaka Bay-Worser Bay,0.674100093,0.674100093
254700,Houghton Bay,Houghton Bay,1.288002016,1.288002016
254800,Miramar East,Miramar East,0.847673197,0.847673197
254900,Miramar South,Miramar South,0.984122243,0.984122243
255000,Rongotai,Rongotai,1.923658875,1.923658875
255100,Strathmore (Wellington City),Strathmore (Wellington City),1.478776294,1.478776294
255200,Seatoun,Seatoun,1.330818341,1.330818341
255300,Kopuaranga,Kopuaranga,458.0455232,458.0455232
255400,Upper Plain,Upper Plain,85.21458644,85.21458644
255500,Opaki,Opaki,36.22404722,36.22404722
255600,Ngaumutawa,Ngaumutawa,0.853070961,0.853070961
255700,Solway North,Solway North,2.076042642,2.076042642
255800,Lansdowne West,Lansdowne West,2.275352792,2.275352792
255900,Masterton Central,Masterton Central,1.759667356,1.759667356
256000,Kuripuni,Kuripuni,1.257055446,1.257055446
256100,Douglas Park,Douglas Park,1.208276425,1.208276425
256200,Solway South,Solway South,6.385057545,6.385057545
256300,Lansdowne East,Lansdowne East,3.327810178,3.327810178
256400,Cameron and Soldiers Park,Cameron and Soldiers Park,1.486358643,1.486358643
256500,Whareama,Whareama,1596.072124,1596.072124
256600,Homebush-Te Ore Ore,Homebush-Te Ore Ore,103.1139876,103.1139876
256700,McJorrow Park,McJorrow Park,0.908926276,0.908926276
256800,Mount Holdsworth,Mount Holdsworth,432.874667,432.874667
256900,Carterton North,Carterton North,2.360877598,2.360877598
257000,Kokotau,Kokotau,120.5752314,120.5752314
257100,Carterton South,Carterton South,2.936670571,2.936670571
257200,Gladstone (Carterton District),Gladstone (Carterton District),621.1618861,621.1618861
257300,Tauherenikau,Tauherenikau,337.6627226,337.6627226
257400,Kahutara,Kahutara,458.0124689,464.5919831
257500,Featherston,Featherston,3.189577467,3.189577467
257600,Inland water Lake Wairarapa,Inland water Lake Wairarapa,0,63.50847701
257700,Greytown,Greytown,5.068975268,5.068975268
257800,Aorangi Forest,Aorangi Forest,1579.322148,1579.322148
257900,Martinborough,Martinborough,4.499413163,4.499413163
258100,Three Kings Islands,Three Kings Islands,4.966433951,4.966433951
258900,Islands Bay of Plenty Region,Islands Bay of Plenty Region,24.87847098,24.87847098
259800,Bare Island,Bare Island,0.131629333,0.131629333
300300,Golden Bay/Mohua,Golden Bay/Mohua,2249.709424,2249.709424
300500,Takaka,Takaka,12.51704766,12.51704766
300600,Pōhara-Abel Tasman,Pohara-Abel Tasman,326.1259733,326.1259733
300700,Takaka Hills,Takaka Hills,277.7192928,277.7192928
300800,Kaiteriteri-Riwaka,Kaiteriteri-Riwaka,28.49379635,28.49379635
300900,Upper Moutere,Upper Moutere,445.9410667,445.9410667
301000,Lower Moutere,Lower Moutere,62.10646346,62.10646346
301100,Motueka North,Motueka North,2.557815903,2.557815903
301200,Motueka West,Motueka West,7.867888129,7.867888129
301300,Motueka East,Motueka East,3.237541494,3.237541494
301500,Golden Downs,Golden Downs,1819.60436,1819.60436
301600,Moutere Hills,Moutere Hills,98.44553851,98.44553851
301701,Māpua,Mapua,2.316484709,2.316484709
301702,Ruby Bay,Ruby Bay,7.448554,7.448554
301800,Murchison-Nelson Lakes,Murchison-Nelson Lakes,3706.006397,3739.516551
302000,Islands Tasman District,Islands Tasman District,15.94223259,15.94223259
302100,Waimea West,Waimea West,59.4116254,59.4116254
302200,Appleby,Appleby,19.94744196,19.94744196
302300,Wakefield,Wakefield,9.923167626,9.923167626
302400,Richmond West (Tasman District),Richmond West (Tasman District),6.461478163,6.461478163
302500,Wakefield Rural,Wakefield Rural,375.7942879,375.7942879
302600,Brightwater,Brightwater,4.66708277,4.66708277
302700,Hope,Hope,7.544072434,7.544072434
302800,Richmond Central (Tasman District),Richmond Central (Tasman District),1.15292502,1.15292502
302900,Ben Cooper Park,Ben Cooper Park,0.915432171,0.915432171
303000,Richmond South (Tasman District),Richmond South (Tasman District),2.507646777,2.507646777
303100,Wilkes Park,Wilkes Park,0.881522392,0.881522392
